title,author,date,article,link
Senate will ‘balance’  relationship with House  on Cha-cha issue – Chiz,Raymond Africa,"May 23, 2024","SENATE President Francis “Chiz” Escudero yesterday said that his position against amending the 1987 Constitution has not changed despite his election as leader of the upper chamber.,But, Escudero told reporters that the Senate will have to “balance our relationship” with the House of Representatives, which is pushing for the revision of the Charter’s so-called restrictive economic provisions, so the two chambers will not end up as “enemies.”,Escudero said while his stance against Charter change is shared by most senators, “but at the same time we have to balance our relationship with the House.”,“Meaning aayusin naman natin. We can agree to disagree but not at each other’s necks, nose na mag-a-away… hindi naman kailangan mag-agree sa lahat ng bagay para hindi maghiwalay. Puwede naman magkasundo sa maraming bagay. Puwedeng hindi magkasundo nang hindi nag-aaway (This means that we will fix it. We can agree to disagree but not at each other’s necks, nose that we will resort to fighting… we do not need to agree on all things to remain united. [But] We can agree on several matters. We can also disagree without fighting),” he said in a chance interview at the Senate.,Former Senate President Juan Miguel Zubiri has earlier said that at least eight senators, including Escudero, are against Cha-cha, which prompted Senate minority leader Aquilino Pimentel III to say that proposed Resolution of Both Houses No. 6 (RBH 6), or the economic Cha-cha bill, has no chance of being approved in the Senate.,RBH 7, the House’s counterpart version of RBH 6, has already been approved by the lower chamber and transmitted to the Senate for the latter’s approval.,In a press conference after his resignation as Senate president, Zubiri has said that “Cha-cha is dead in the Senate” since Escudero is not keen on the proposal.,Escudero said that since Sen. Juan Edgardo Angara has resigned as chairperson of the subcommittee of the Committee on Constitutional Reforms which is discussing RBH 6, all scheduled hearings of the panel will now be deferred. The subcommittee was scheduled to hold the last two hearings on RBH 6 in Cebu and Cagayan de Oro cities this week.,Escudero said Cha-cha was not discussed during the dinner Tuesday night hosted by President Marcos Jr. and First Lady Liza Araneta for senators and their spouses.,“Hindi namin napag-usapan, wala kaming napag usapan (We did not talk about it, we did not talk about it),” he said.,Escudero said Tuesday night’s dinner in Malacañang was scheduled three weeks ago, as he dismissed speculations that the ouster of Zubiri was initiated supposedly on the prodding of the First Lady, who was reportedly irked with the Senate’s investigation on the President’s alleged use of illegal drugs in 2012 when he was still a senator.,“Quite frankly, it (change of leadership) was not discussed. I was not asked. All he (referring to Marcos) said… he was in Dumaguete and Bacolod and by the time he landed, he was informed [about the leadership change], by the time he landed, he found out that there was already a change and it was finished. That’s what he told me… He never knew about it…, ” Escudero said,The Senate leader said he was absent during the last two dinners hosted by the President, and was compelled to attend Tuesday night since he is now the Senate president.,Escudero said the spouses of the senators were also invited to attend the dinner with the First Couple.,Mrs. Marcos, in an Instagram post, said she and the President “had a nice time breaking bread with the senators and their spouses.”,In a separate Facebook post, she described the gathering as a “casual dinner.”,A photo taken during the event showed that among the senators who were present Escudero and his wife Heart Evangelista, Senate president pro tempore Jinggoy Estrada, Senate majority leader Francis Tolentino, and Senators Grace Poe, Cynthia Villar, Loren Legarda, Pia Cayetano, Alan Peter Cayetano, Robinhood Padilla, Raffy Tulfo, Mark Villar, and Sherwin Gatchalian.,Aside from Evangelista, the other spouses who joined the dinner were ACT-CIS party-list Rep. Jocelyn Tulfo; former Senate President Manny Villar; Emmeline Yan Aglipay (wife of Mark Villar), Cavite Rep. Lani Mercado-Revilla, and Kathryna Yu-Pimentel, wife of Sen. Aquilino Pimentel III.,Senators Pimentel and Bong Revilla did not attend the gathering.,Absent during the dinner were Senators Zubiri, Angara, Nancy Binay, Joseph Victor “JV” Ejercito, Joel Villanueva, Ronald “Bato” dela Rosa, Christopher Lawrence “Bong” Go, Lito Lapid, Risa Hontiveros, and Imee Marcos.,Former Senate President Franklin Drilon, in an interview with ANC, said it cannot be denied that Malacañang has something to do with the change of leadership in the Senate.,“But having said that, to me, there’s nothing wrong with it because the President is the political leader of our country. And therefore, as President, he has the prerogative and the obligation to make sure that his policies find its way in the law books,” Drilon said.,“Ang you can only push this policy if the leaders of both houses themselves align to the same policy. So, there is nothing, I must emphasize, that the political leader of this country will try to influence the leadership in both chambers,” he added.,To his opinion, Drilon said Zubiri was ousted due to the “cumulative effect” of a number of political events which started when the People’s Initiative backed by the House of Representatives became a hot issue.,He said another issue was when Zubiri approved the issuance if an arrest order against Kingdom of Jesus Christ leader Pastor Quiboloy, who is a known ally of then President Duterte.,The final event was when the Senate Committee on Public Order held its hearings on the “PDEA leaks.”,During yesterday’s session, Zubiri was named as the new chair of the Committee on Economic Affairs, replacing Sen. Mark Villar who was elected as the new chair of the Committee on Government Corporations and Public Enterprises vice Sen. Alan Peter Cayetano.,Cayetano was elected chair of the Committee on Trade and Industry and the Committee on Higher, Technical, and Vocational Education, which was previously chaired by Escudero.,Senators also elected Sen Pia Cayetano as chairperson of the Committee on Energy, Sen. Raffy Tulfo of the Committee on Public Services, Sen. Grace Poe of the Committee on Finance, Majority leader Francis Tolentino of the Committee on Justice and Human Rights and of the Committee on Ethics, Sen. Nacy Binay of the Committee on Sustainable Development Goals, Sen. Manuel Lapid of the Committee on Tourism, Sen. Joel Villanueva of the Committee on Labor, and Sen. Imee Marcos of the Committee on Urban Planning, Housing, and Resettlement.,Sen. Sherwin Gatchalian was retained as chair of the Committee on Basic Education and Committee on Ways and Means, while Sen. Joseph Victor Ejercito was re-elected as chair of the Committee on Local Government. ",https://malaya.com.ph/news_news/senate-will-balance-relationship-with-house-on-cha-cha-issue-chiz/
Israel allows return to three evacuated West Bank settlements,Reuters,"May 23, 2024","JERUSALEM — The Israeli military has approved permission for Israelis to return to three former West Bank settlements they had been banned from entering since an evacuation ordered in 2005, the defence ministry said on Wednesday.,The three settlements, Sa-nur, Ganim and Kadim, are located near the Palestinian cities of Jenin and Nablus, both of which are strongholds of armed militant groups in the northern West Bank.,A fourth settlement, Homesh, was cleared for entry last year after parliament passed an amendment to the so-called “disengagement law” of 2005. Permission from the military, which has overall control of the West Bank, was required for any return to the other three former settlements.,The military announced the move on the day three European states said they would formally recognize the State of Palestine, and as Israel’s military offensive against the Palestinian militant group Hamas continued in the Gaza Strip.,It took the decision despite international pressure on Israel to curb settlement expansion in the West Bank, which Palestinians want as the core of a future independent state alongside Gaza.,“The Jewish hold on Judea and Samaria guarantees security, the application of the law to cancel disengagement will lead to the development of settlement and provide security to residents of the area,” Defence Minister Yoav Gallant said in a statement, using the Biblical names for the West Bank that are often used in Israel.,There was no immediate comment from the Palestinian Authority.,Last year’s amendment to the disengagement law was seen as opening the way to re-establishing former West Bank settlements evacuated in 2005 under a plan overseen by former Prime Minister Ariel Sharon.,Under the plan, which was opposed by the settler movement at the time, all 21 Israeli settlements in Gaza were ordered to be evacuated. Most settlements in the West Bank were unaffected apart from the four that will now be accessible again.,More than 500,000 Jewish settlers are now estimated to be living in the West Bank, part of territory captured by Israel in the 1967 Middle East war, with a further 200,000 living in East Jerusalem.,For Palestinians and most of the international community, the settlements are considered illegal. Israel disputes this, citing the Jewish people’s historical, biblical and political links to the area as well as security considerations.,Despite international opposition, settlements have continued to expand strongly under successive Israeli governments.",https://malaya.com.ph/news_news/israel-allows-return-to-three-evacuated-west-bank-settlements/
Para swim bet shines in Singapore,Bong Pedralvez,"May 23, 2024","PRIMING for her debut in the Paris Paralympic Games in August, national para swimmer Angel Mae Otom bagged gold and silver medals in the Singapore leg of the Citi Para Swimming World Series over the weekend at the OCBC Aquatic Arena.,With the swimmers in the S5/SB6/SM5 women’s categories bunched together, Otom clocked 46.39 seconds and ranked second in the 50-meter butterfly to take the gold medal in the competition in one of the last meets before the Paris Paralympic Games.,A quadruple gold medalist in the 32n Cambodia Southeast Asian Games in 2023, the limbless swimming wonder also took the silver in the 50-meter backstroke with a time of 44.72 seconds, according to national para swimming coach Tony Ong.,Veteran national para swimmer Ernie Gawilan who, like Otom, is bound for the Paris Paralympic Games, clocked 5:03.14 to finish fifth in the men’s 400-meter freestyle S7/SB7/SM7 event and sixth in the 50-meter butterfly in 36:15 seconds.,Tokyo Paralympian Gary Bejino had his best outing in the men’s 50-meter S6/SB6/SM6 butterfly race, winding up in sixth place in 36.17 seconds.,Ariel Joseph Alegarbes narrowly missed a podium finish, placing fourth in the men’s 100-meter backstroke S14 in 1:02.89 and seventh in the 100-meteter butterfly (1:02.73).,Ong said he had endorsed Bejino and Alegarbes as bipartite entries for Paris through the Philippine Paralympic Committee and would know the outcome from the International Paralympic Committee by the second week of June.,All four swimmers will rejoin the rest of the national para swimming squad in training starting today at the Philsports pool in Pasig City, he said.,Fourth Hangzhou Asian Para Games gold medalist Jerrold Mangliwan was caught for lane infringement and was disqualified in the men’s 400-meter T52 finals of the World Para Athletics Championships in Kobe, Japan last Tuesday.",https://malaya.com.ph/news_sports/para-swim-bet-shines-in-singapore/
"Kazakhstan, India off to fast start",...,"May 23, 2024","KAZAKHSTAN and India launched their campaign in the AVC Challenge Cup for Women on a high note yesterday, handily dominating their opponents at the Rizal Memorial Coliseum.,In the curtain-raiser, Kazakhstan needed just three sets to humble the young bloods of Singapore, scoring a 25-15, 25-9, 25-17 victory in Pool B.,India also breezed past Iran in straight sets 25-17, 25-23, 25-21 in Pool A action.,Defending champion Vietnam battled Hong Kong and Australia faced Chinese Taipei in other games yesterday.,Pilipinas Alas debuts against Australia today, Thursday at 7 p.m. in Pool A after Indonesia takes on Hong Kong at 10 a.m. in Pool B and Vietnam clashes with Singapore in Pool B at 4 p.m.,Kristina Belova led the scoring load for Kazakhstan with 15 points, eight from attacks and seven service aces, while skipper Sana Anarkulova had 13 markers in the 72-minute battle.,“The first game, every time, is difficult. Because now in Kazakhstan, it’s 7 in the morning, it’s so early. Our people (are) still asleep. But we try to show our good performance, good power, and we need to win,” Anarkulova said.,From a 16-all count in the third set, Kazakhstan went on an 8-0 run to take a 24-16 lead and wrapped up the match on a service error by Singapore.,Kazakhstan will have a rest day today, Thursday, and will return to action on Friday, facing defending champion Vietnam.,Radhakrishnan Anagha and Anusree Kambrath propelled the Indians, fourth placers in the last Challenge Cup, with 16 and 15 markers, respectively, while Shaalini Saravanan scored 12.,“I feel very proud and happy. The Iran team also was (a) very good team but we focused on our service and digging and we got good results today,” said captain Kovat Shaji Jini.",https://malaya.com.ph/news_sports/kazakhstan-india-off-to-fast-start/
"Ireland, Spain, Norway announce recognition of Palestinian state",Reuters,"May 23, 2024","DUBLIN/OSLO/MADRID — Ireland, Spain and Norway announced on Wednesday that they would recognize a Palestinian state on May 28, saying they hoped other Western countries would follow suit, prompting Israel to recall its ambassadors.,Spain’s Prime Minister Pedro Sanchez said the move was aimed at accelerating efforts to secure a ceasefire in Israel’s war with Hamas in Gaza.,“We hope that our recognition and our reasons contribute to other western countries to follow this path, because the more we are, the more strength we will have to impose a ceasefire, to achieve the release of the hostages held by Hamas, to relaunch the political process that can lead to a peace agreement,” he said in a speech to the country’s lower house.,Ireland’s Prime Minister Simon Harris announced the decision at a news conference in Dublin. He added that Ireland was unequivocal in recognizing Israel’s right to exist “securely and in peace with its neighbors”, and calling for all hostages in Gaza to be immediately returned.,In Oslo, Norwegian Prime Minister Jonas Gahr Store said the only possible political solution between Israelis and Palestinians is “two states living side by side in peace and security”.,Israeli Foreign Minister Israel Katz ordered the immediate return of the Israeli ambassadors from the three countries for consultations, and warned of further “severe consequences”.,“I am sending a clear message today: Israel will not be complacent against those who undermine its sovereignty and endanger its security,” he said.,The decision was welcomed by the Palestinian Authority, which exercises limited self rule in the Israeli occupied West Bank, and by Hamas, which has ruled the Gaza Strip since driving the PA out of the enclave in 2007.,Around 144 out of 193 member-states of the United Nations recognize Palestine as a state, including most of the global south, Russia, China and India. But only a handful of the 27 EU members have done so so far, mostly former Communist countries as well as Sweden and Cyprus.,Britain, Australia and EU member Malta have indicated in recent months that they could soon follow suit.,Recognition of a Palestinian state is still opposed for now by Israel’s closest ally the United States, which has the power to veto it at the United Nations and did so last month.,Washington says it favors Palestinian statehood eventually, but only as a result of negotiations with Israel, a position it shares with European powers including France and Germany. No negotiations over Palestinian statehood have taken place since the last round of talks collapsed a decade ago.,Israel launched its war in Gaza in retaliation for an Oct. 7 assault by Hamas in which fighters killed 1,200 people and took more than 250 hostages, by Israeli tallies. Israel’s operations in the enclave have killed more than 35,000 Palestinians, according to Gaza’s health ministry.,Israel says recognizing Palestinian statehood now would effectively reward Hamas for its attacks.,Spain and its allies have spent months lobbying European nations, including France, Portugal, Belgium and Slovenia, to garner support for the recognition of a Palestinian state.,Eamon Ryan, head of one of the Irish government’s three coalition parties, told RTE radio that Ireland already has a Palestinian ambassador and the recognition “is changing the nature of the embassy that Palestine has in our state… to give it full diplomatic rights and accreditation and that is something that will happen quite quickly.”,He said the recognition was timed to support efforts by countries including Jordan, Egypt and Saudi Arabia to achieve a ceasefire and broader peace deal.,Israel’s foreign ministry said it would reprimand the Irish, Spanish and Norwegian ambassadors and show them a video of female hostages being held in captivity by Hamas.,Palestinians seek statehood in the Israeli-occupied West Bank and the Gaza Strip, with East Jerusalem as their capital.",https://malaya.com.ph/news_news/ireland-spain-norway-announce-recognition-of-palestinian-state/
Tatum shows way as Celtics prevail in OT,Field Level Media,"May 23, 2024","JAYSON Tatum scored a game-high 36 points and added 12 rebounds as the Boston Celtics earned a 133-128 overtime victory against the visiting Indiana Pacers on Tuesday night (Wednesday in Manila) in Game 1 of the Eastern Conference finals.,Tatum scored 10 points in overtime, including six straight that gave the top-seeded Celtics a 127-123 lead with 42.9 seconds to play.,Jrue Holiday added 28 points and Jaylen Brown finished with 26 points in the win. After Brown drained a corner 3-pointer that made it 117-117 with 6.1 to play in regulation, Tyrese Haliburton missed a 3-pointer at the buzzer and the game went to overtime.,Haliburton had 25 points and 10 assists, and Pascal Siakam finished with 24 points, 12 rebounds and seven assists for the Pacers. Myles Turner added 23 points in the loss.,Indiana made 9 of 10 free throws in the game. Boston was 24 for 30 from the free-throw line.,The Pacers committed 22 turnovers.,The Celtics scored the game’s first 12 points and led 34-31 after one quarter. Boston had a 47-37 lead after Holiday’s jump shot with 8:01 remaining in the second quarter. Indiana tied the score, 61-61, on Haliburton’s 3-pointer with 1:19 left in the half. It was 64-64 at halftime.,Turner led all scorers with 18 points in the first half.,Indiana had its first lead of the game after Haliburton’s layup broke a 64-64 tie with 11:25 remaining in the third quarter. The Pacers stretched their lead to five, but Boston regained control and led 87-75 after Tatum’s three-point play with 4:50 left in the third capped a 13-0 run.",https://malaya.com.ph/news_sports/tatum-shows-way-as-celtics-prevail-in-ot/
"Rho aces way to Masters lead, cards 67",...,"May 23, 2024","HYUN Ho Rho outgunned Ryan Monsalve in an early shootout between two emerging stars of the Philippine Golf Tour, spiking his solid five-under 67 with a hole-in-one in the first round of the ICTSI Philippine Masters in Pasay City yesterday.,The 2023 PGT Q-School topnotcher aced the 195-yard No. 4 and also had three birdies, including two in the last three holes. His bogey-free 33-34 performance came in scorching conditions at the Villamor Golf Club which yielded just five under-par rounds.,Monsalve had an impressive start in the third flight with Rho and veteran Marvin Dumandan, eagling the par-5 No. 2 and bouncing back from a mishap on the third hole with birdie on No. 6. He dominated the next two long holes on Nos. 8 and 13 but couldn’t match Rho’s birdie on the par-5 18th.,Monsalve’s 68 put him in early contention in the P2 million championship, his best start in a career marked by a fifth-place finish in his first pro event at Apo last March.,“I hit it solid, straight to the pin. I didn’t even know it went it until my sister told me,” Rho, 19, said. “That’s when I realized I made a hole-in-one.”,Rho had mixed results in the first three legs of this year’s PGT. He tied for 15th at Apo, missed the cut at Palos Verdes and struggled to a share of 36th at Caliraya Springs.,Recording his first ace in the ranks, Rho described his overall game as good, though he noted some missed birdie chances.,“I wasn’t really putting well, but I was lucky to sink my par putts,” said Rho, who used a 5-iron and Titleist No. 2 ball for the ace worth P20,000 from the organizing Pilipinas Golf Tournaments, Inc.,Despite seizing the early lead, Rho tempered his expectations. “I’m just going to enjoy my game, do my best and hope for the best.”,Young talents stood out against the seasoned campaigners with Aidric Chan shooting a 69 for solo third. Lloyd Go, a winner at Palos Verdes, and Guido van der Valk, twice a runner-up here, each positioned themselves with 71s.,Monsalve credited his execution, especially off the tee, for his strong performance in the early going of the 72-hole championship sponsored by ICTSI.,“I played my tee shots well. There were some bad breaks, such as not-so-great lies, but I executed well all throughout,” he said. “I made some really good putts down the stretch to keep my score at 4-under and finished strong.”,He recounted his start with an eagle on No. 2, followed by three birdies in eight-hole stretch from No. 6, despite a bogey on the third.,Chan, this year’s Q-School winner, highlighted his 69 with three birdies at the front nine, overcoming a bogey on the 10th with another birdie on No. 13.,Reflecting on his 33-36 round, the former amateur standout expressed confidence on his chances in the tournament supported by PGTI official apparel Kampfortis Golf.,“I started out pretty well but struggled at the back,” said Chan. “But I’m confident I have knowledge for practicing here for weeks. My expectations are high as long as I hit my drives and fairways and make some birdies.”,Sean Ramos eagled the challenging par-5 No. 8 following birdies on Nos. 2 and 6 to post the best frontside output of 32. However, he struggled in the last nine holes, bogeying Nos. 12 and 14 and dropping two strokes on the No. 16, ending with a 72 and slipping to joint sixth with 11 others.",https://malaya.com.ph/news_sports/rho-aces-way-to-masters-lead-cards-67/
Eala keeps  French Open bid alive,Bong Pedralvez,"May 23, 2024","SHOWING grit and laser-like focus, Alex Eala overcame an early first-set deficit to surge past fancied Australian Taylah Preston 4-6, 6-4, 7-5 last night in her second qualifying match for a slot in the French Open women’s singles at the famed Roland Garros courts in Paris, France.,In a battle of wills and skills between two 18-year-olds, Eala emerged triumphant, outlasting Preston, ranked 23 rungs higher than her at No. 160 in the Women’s Tennis Association ratings, after a tense and thrilling match that lasted two hours and 22 minutes.,With the win, she moved a match closer to the main draw of the world’s most famous clay court tournament.,The pretty Filipina southpaw will be up against another tough foe in Argentine Julia Riera, ranked No. 93 and the No. 2 seed in the qualifiers, who dispatched Frenchwoman Harmony Tan 6-3, 6-2 in the next round today at 10 a.m. (4 p.m. Manila time).,Eala’s grueling win was in contrast to her breezy 6-1, 6-1 victory over China’s Ma Ye Xin in the opening round of the qualifiers.,In a match of runs and service breaks, the phenomenal Pinay netter eventually gained the upper hand over her Australian rival, the No. 30 seed in the qualifying, after losing the first set.,Once Eala settled down and got into a groove, she steadily broke down Preston’s game and her self-confidence from the second set onwards.,Eala’s tenacity and ferocity was underscored in the pivotal third set when, from a 2-4 count, she reeled off three straight games to seize the lead at 5-4.,The Aussie managed to break back to knot the score at 5-5 but Eala broke her opponent again in the 11th, her win capped by an anti-climactic Preston error at 40-30 in the 12th game.,Eala played more consistently, committing less errors, 15 forced and 46 unforced, to her opponent’s 21-58.,Preston also committed 11 double faults, three more than her foe, some of them in critical points of the match.",https://malaya.com.ph/news_sports/eala-keeps-french-open-bid-alive/
Marcos okays July-April school sked for ‘24-25,Jocelyn Montemayor,"May 23, 2024","PRESIDENT Marcos Jr. has approved the July 29, 2024 to April 15, 2025 calendar for the coming school year, with no Saturday classes, as the country starts reverting to the pre-pandemic education schedule.,The President reached his decision last Tuesday when he met with Vice President and Education Secretary Sara Duterte and several officials of the Department of Education to discuss the options for the implementation of the June to March school calendar, starting with the 2024-2025 school year.,Duterte discussed two options with Marcos – 182 school days with 15 in-person Saturday classes, or 167 school days, with no in-person Saturday classes. Both options will end on March 31, 2025.,She said the DepEd discussed the proposed school calendars with teachers, school officials, and parents.,The current school year is set to end on May 31.,The Teachers Dignity Coalition welcomed Marcos’ decision, saying although it does not jive with its proposal that classes end on April 11 next year, the new schedule is fine with the group.,The President, who prefers not to conduct classes on Saturdays, felt the 167-day school calendar was “too short” and significantly reduces the number of school days and contact time between teachers and learners which may compromise learning outcomes.,The Presidential Communications Office (PCO) said Marcos “did not want students going to school on Saturdays” to complete the 182-day school calendar as it could jeopardize the well-being of students and demand more resources.,As a “compromise,” the PCO said the President opted to extend the school year until April with no Saturday classes to complete the 182 school calendar days, instead of ending the school year on March 31, 2025.,“Let us prolong the school days. Let’s just add more school days so we do not touch the Saturdays. So, the school day will remain the same. Standard,” the PCO quoted Marcos as saying.,After the 2024-2025 calendar schedule, school year 2025-2026 is expected to revert to the June-March schedule.,The DepEd adjusted the start of classes in 2020 due to the COVID-19 pandemic.,Education Undersecretary and spokesperson Michael Poa told reporters that Marcos reached his decision after a meeting with Duterte, during which “they discussed our proposals and options for the school calendar.,“The option that was approved is basically the school year 2024-2025 that will end on April 15, 2025,” Poa told reporters at the sidelines of a DepEd event in Taguig City.,Poa said this means going back to the normal or original school cycle wherein classes open in June and end in March of next year.,“We are really going back to the normal or original June to March cycle of the school calendar,” he added.,An order issued by Duterte last February indicated that school year 2024-2025 was supposed to start on July 29, 2024, and end on May 16, 2025.,Poa said the DepEd will soon release a new order regarding the calendar for next school year.,“We will just issue a new department order on the school calendar regarding its details,” he added.,Poa said the April 15 ending of the 2024-2025 school year and the June 16 opening of classes is not far from the 180 school days prescribed by educational specialists.,“We are near the 180 school days prescribed by our curriculum specialists,” he said.,Poa said the DepEd will no longer hold Saturday classes.,“Since we will end school year 20224-2025 on April 15, we will meet the number of school days required. We no longer need to add more school days by holding Saturday classes,” he said, adding holding Saturday classes would entail more work for teachers and learners.,“We want to prevent fatigue, certain things similar to it,” Poa said, adding the change would not have an adverse impact on the learning outcomes.,The plan to hold Saturday classes was disclosed last week during a hearing at the House of Representatives by DepEd Director Leila Ariola. ",https://malaya.com.ph/news_news/marcos-okays-july-april-school-sked-for-24-25/
How Trump’s hush money trial verdict could affect the 2024 election,Reuters,"May 23, 2024","WASHINGTON. – Jurors hearing the first-ever criminal trial of a former US president could render their verdict in Donald Trump’s hush money case as soon as next week, with potentially big implications for the 2024 White House race.,Trump has pleaded not guilty to 34 counts of falsifying business records to cover up a payment that bought the silence of porn star Stormy Daniels shortly before the 2016 election. Daniels had threatened to go public with her account of an alleged 2006 sexual encounter with Trump, a liaison he denies.,The New York case is widely seen as the least consequential of the four criminal prosecutions Trump faces. But it has meant the Republican presidential candidate spent more time in court than campaigning in recent weeks, and brought outsized attention to the only case likely to go to trial before his Nov. 5 election face-off with Democratic President Joe Biden.,Here’s how three potential outcomes from the jury room — a guilty verdict, an acquittal or a hung jury — could affect the presidential campaign.,Opinion polls show a guilty verdict could pose significant political danger for Trump in an election that will potentially be decided by just tens of thousands of votes in a handful of battleground states.,One in four Republicans said they would not vote for Trump if he is found guilty in a criminal trial, according to a Reuters/Ipsos poll of registered voters in April. In the same survey, 60% of independents said they would not vote for Trump if he is convicted of a crime.,Republican and Democratic consultants have mixed views about the impact of a guilty verdict.,Whit Ayres, a Republican pollster, doubts that as many as a fourth of Republicans would actually shun Trump if he’s convicted. But Ayres said even if just a small number of more moderate Republicans and independents are turned off by a guilty verdict, it could help Biden in a close election.,However, Ayres said the nature of the New York case, which was brought by a Democratic prosecutor and relies on untested legal strategies, will help Trump and fellow Republicans frame a guilty verdict as a political hit job.,“If I were trying to design a court case that would be easy for Republicans to dismiss as a partisan witch hunt, I would design exactly the case that’s being brought in New York,” Ayres said.,Republican consultant Tricia McLaughlin, who worked on former Trump primary challenger Vivek Ramaswamy’s campaign, said she thought a guilty verdict would have a psychological impact on Trump because he hates losing. It would also divert more financial resources to legal bills because he would be almost certain to appeal a guilty verdict, she added.,Bill Galston, an analyst and senior fellow at the Brookings Institution think tank in Washington, said he didn’t expect a guilty verdict would have a significant impact on the presidential race.,“In the end, this amounts to lying about sex. I think the view probably of the majority of Americans is that everybody lies about sex,” said Galston, who has worked on Democratic presidential campaigns.,He also served in the administration of President Bill Clinton, whose 1990s tenure in the White House was marked by sex scandals.,Consultants from across the political spectrum agree on one thing: An acquittal would be a huge victory for Trump, especially because he has claimed the trial is a sham political persecution aimed at derailing his presidential bid.,On the campaign trail, the candidate could use a not-guilty verdict in New York to claim the other cases against him also have no legal merit, McLaughlin said.,Trump faces federal and state charges in Washington and Georgia of trying to overturn his 2020 loss to Biden and federal charges in Florida of mishandling classified documents after leaving the White House in 2021. He has pleaded not guilty in all three cases.",https://malaya.com.ph/news_news/how-trumps-hush-money-trial-verdict-could-affect-the-2024-election/
