title,author,date,article,link
Heavy rain looms as LPA likely to become Aghon,Acor Arceo,"May 23, 2024 2:35 PM PHT","MANILA, Philippines – The weather bureau warned of potentially heavy rain in the coming days as the low pressure area (LPA) that it has been monitoring entered the Philippine Area of Responsibility (PAR) at around 5 am on Thursday, May 23.,As of 10 am, the LPA was located 870 kilometers east of southeastern Mindanao, according to the Philippine Atmospheric, Geophysical, and Astronomical Services Administration (PAGASA).,The LPA is seen to develop into a tropical depression within 24 hours, or by Friday morning, May 24.,It will be given the local name ,Aghon, as the Philippines’ first tropical cyclone for 2024.,PAGASA said in a briefing on Thursday that the LPA or potential Aghon could move generally northwest until Saturday, May 25, then recurve northeast by Sunday, May 26.,That means the weather disturbance might remain offshore or over the Philippine Sea, but PAGASA also warned that it could still be near landmass. In particular, it may be nearest the Bicol-Eastern Visayas area on Saturday.,PAGASA Weather Specialist Ana Clauren-Jorda added that landfall is not being ruled out, given what the weather bureau describes as the “high” uncertainty in the LPA’s track for the first 48 hours.,The track can still change due to the “broad circulation of the disturbance right now,” PAGASA said.,On Thursday, the trough or extension of the LPA may already trigger light to heavy rain in Surigao del Norte, Surigao del Sur, and Dinagat Islands.,On Friday, Eastern Samar and Northern Samar could have moderate to heavy rain, while Bicol, Caraga, and the rest of Eastern Visayas may see light to moderate rain.,By Saturday, or when the potential Aghon would be nearest the Bicol-Eastern Visayas area, moderate to intense rain is possible in Catanduanes, Camarines Sur, and Northern Samar. Light to moderate rain is also expected in Quezon including Polillo Islands, the rest of Bicol, and the rest of Eastern Visayas.,Science and Technology Secretary Renato Solidum Jr. called on local government units and the public to prepare for the effects of rainfall., Solidum said during Thursday’s briefing.,(We need to take precautions for possible floods and landslides in areas that may experience heavy rain.),For strong winds, tropical cyclone wind signals could be raised as early as Friday for parts of Bicol and Eastern Visayas.,In terms of intensity, the weather disturbance may strengthen into a tropical storm by Sunday morning, and then as it recurves, into a severe tropical storm by Tuesday, May 28.,The arrival of the LPA or Aghon does not automatically mean the start of the Philippines’ rainy season, which is usually declared in the second half of May or first half of June.,PAGASA Deputy Administrator for Research and Development Marcelino Villafuerte II explained that none of the 13 stations being monitored for amount of rainfall have met the criteria yet.,These stations are also in the western part of the country, while the LPA or Aghon will mostly affect the eastern portion, based on the initial forecast.,Aghon may pull the southwesterly windflow, which would affect the western part of the country, but it remains to be seen if the stations would meet the rainfall criteria. For now, the ,warm and dry season, is still winding down.,El Niño, also continues to weaken and a transition to neutral conditions is expected. But there is a 60% chance of La Niña developing in the June-August period.,According to Villafuerte, 13 to 16 tropical cyclones may form within or enter PAR in 2024. There were 11 tropical cyclones in 2023. ",https://www.rappler.com/nation/weather/low-pressure-area-update-pagasa-forecast-may-23-2024-1130am/
Lassiter trying to stay in the moment as PBA 3-point record looms,Delfin Dioquino,"May 20, 2024 10:54 PM PHT","MANILA, Philippines – Marcio Lassiter continues to close in on the PBA all-time three-pointers record.,The San Miguel gunner, however, said he is trying not to get caught up in the hoopla of his impending feat after surpassing Barangay Ginebra veteran LA Tenorio for the No. 3 spot.,Lassiter increased his career tally to 1,219 triples to leapfrog Tenorio (1,218) after sinking three treys in a ,106-98 win, over Rain or Shine that gave the Beermen a 2-0 lead in the Philippine Cup semifinals on Sunday, May 19. ,Up next in the list are record holder Jimmy Alapag (1,250) and league legend Allan Caidic (1,242). ,“I try not to think about it. It is kind of hard when I keep looking up, like there goes my numbers,” said Lassiter, who just turned 37 last May 16. ,“Just see how it goes each game,” he added. “I have the same approach as next-play mentality. If I keep doing that, I can just continue to focus on the present.” ,With the rate Lassiter is going, it is only a matter of time before he breaks the record. ,If Lassiter keeps his pace of making 2.9 three-pointers per game, he needs eight games to eclipse Caidic and 11 games to supplant Alapag at the top. ,“Just continue to slowly chip away. The next two are great legends,” said Lassiter. “One has the record, the second is, I feel like, the GOAT of shooters.” ,“When that time comes, that will be a very special moment.” ",https://www.rappler.com/sports/pba/marcio-lassiter-trying-stay-moment-three-point-record-looms/
Emphasis on strong finish as Meralco nearly blows big lead vs Ginebra in Game 3 win,Delfin Dioquino,"May 22, 2024 11:38 PM PHT","CAVITE, Philippines – Meralco may have wrested control from Barangay Ginebra in the PBA Philippine Cup semifinals, but the way it ended Game 3 leaves much to be desired.,Up by as many as 17 points, the Bolts nearly frittered away their lead before holding on to an 87-80 win at the Dasmariñas City Arena on Wednesday, May 22, as they beat the Gin Kings for the second straight game for 2-1 series edge. ,“There should be no letdown. We all know Ginebra is ‘never say die,’ that has always been their mantra. You saw they did not give up,” said Meralco head coach Luigi Trillo. ,Fans rooting for Ginebra went for the exits with over four minutes remaining as the Bolts looked on the way to a blowout after mounting an 83-66 advantage. ,That sizable lead, however, slowly vanished, with the Gin Kings riding on a 14-2 run powered by Nards Pinto, Von Pessumal, and LA Tenorio to inch within 80-85 with 25 seconds remaining. ,A pair of missed free throws from Meralco forward Alvin Pasaol kept the comeback door ajar for Ginebra, but Tenorio missed a long three-pointer and David Murrell put too much force on his putback as the Bolts escaped with the victory. ,Trillo said his wards need to be on their toes from start to finish, whether they are leading or trailing. ,“We were shooting our shots that last four, five minutes with 15, 17 seconds [on the shot clock]. Our players should not do that, they should know how to manage the time, they should be in their proper spacing. Our defense has to be sound,” said Trillo. ,Allein Maliksi paced Meralco with 16 points, Chris Newsome finished with 14 points, 6 assists, and 4 rebounds, while Bong Quinto added 10 points and 4 rebounds. ,Chris Banchero and Cliff Hodge chimed in 9 points in the low-scoring affair and Raymond Almazan contributed 8 points and 9 rebounds. ,Japeth Aguilar posted 15 points and 9 rebounds in the loss that saw two of the Gin Kings’ best players struggle offensively. ,Fresh from scoring a career-high 41 points in their ,Game 2 defeat,, Christian Standhardinger got limited to 10 points on 3-of-10 shooting to go with 10 rebounds, while Scottie Thompson shot 2-of-13 for 8 points and 9 rebounds.,The two were sat out by Ginebra head coach Tim Cone with eight minutes left in the game as he opted for a different look with hopes of making a comeback.,Maverick Ahanmisi ended up as the only other Gin Kings player in double-digit scoring with 13 points. ,Meralco 87 – Maliksi 16, Newsome 14, Quinto 10, Banchero 9, Hodge 9, Almazan 8, Caram 6, Bates 6, Torres 3, Pascual 2, Rios 2, Dario 2, Mendoza 0, Pasaol 0.,Barangay Ginebra 80 – J.Aguilar 15, Ahanmisi 13, Standhardinger 10, Tenorio 9, Thompson 8, Pinto 6, Cu 5, Pessumal 5, Pringle 4, Onwubere 3, R.Aguilar 2, Murrell 0.,Quarters: 31-18, 48-34, 72-59, 87-80.",https://www.rappler.com/sports/pba/philippine-cup-semifinals-game-results-meralco-bolts-barangay-ginebra-may-22-2024/
"Guiao disrespected by late Romeo triple: ‘There are people who are arrogant, rude’",Delfin Dioquino,"May 22, 2024 9:57 PM PHT","CAVITE, Philippines – Rain or Shine head coach Yeng Guiao admitted he lost his cool as he felt disrespected by a late shot from San Miguel standout Terrence Romeo even with the result of Game 3 of their PBA Philippine Cup semifinals already settled.  ,Guiao gave Romeo a piece of his mind after the high-scoring guard sank a triple in the dying seconds of their ,117-107 victory, at the Dasmariñas City Arena on Wednesday, May 22, that gave the Beermen a commanding 3-0 lead in the best-of-seven series.,In basketball, running up the score when the outcome of the game has been decided is considered discourteous and unsportsmanlike. ,“Basic respect. San Miguel is a class organization. We’re friends with their coaching staff and their bosses over there. That is just a minimum requirement for respect. There is no quotient in the semis,” said Guiao in a mix of Filipino and English. ,“Terrence is not a new player. I’m sure he knows that.” ,Romeo finished with 13 points on 6-of-16 shooting – needing to work for every bucket as the Elasto Painters’ guards hounded him.,At one point, Romeo incurred a technical foul for second motion after being pestered by Rain or Shine rookie Adrian Nocum during an inbound play.,It was Romeo, though, who brought San Miguel home by scoring 7 of their last 10 points, including the three-pointer that infuriated Guiao. ,For Guiao, disrespect invites disrespect. ,“I got angry. I lost my temper,” said Guiao. “You do not want to be rude, but if you’re being disrespected, you do not want to be bullied.” ,“Nothing untoward happened before that. Nothing happened that would justify what he did. There are just people who are rude. We cannot do anything about it. There are people who are arrogant and rude.” ,Guiao said he expected better from a player that belongs to a storied franchise like the Beermen, who are eyeing a record-extending 30th championship. ,“I think the mere fact that they’re seeded No. 1, they’re the best team, they have the best record, they have the best talent, that in itself should make them a class organization. And part of being a class organization is giving due respect to those who are below your level,” said Guiao.,On the brink of elimination, the Elasto Painters look to stay alive by winning Game 4 on Friday, May 24, at the Mall of Asia Arena. ",https://www.rappler.com/sports/pba/yeng-guiao-disrespected-terrence-romeo-three-pointer-san-miguel-beermen-rain-or-shine-elasto-painters-semifinals/
Philippines says China to blame for ‘choppy’ bilateral ties  ,Bea Cupin,"May 22, 2024 2:30 PM PHT","MANILA, Philippines – As a Senate panel probed the ,wiretapping, of a call between a Philippine naval commander and a Chinese diplomat, on Wednesday, May 22, Foreign Secretary Enrique Manalo described the current state of bilateral relations between Manila and Beijing as “a bit choppy.” ,“I would say they’re a bit choppy. There are many issues which have come up recently. But mainly…it’s really been an effort by the Philippines to assert our rights in our exclusive economic zone in the West Philippine Sea and this assertion is based on rights which are granted by international law…. So that’s all that the Philippines has been doing, is doing, and will continue to do,” said Manalo in a briefing with select Philippine media. ,Manalo, a career diplomat who has helmed the Department of Foreign Affairs (DFA) since President Ferdinand Marcos Jr. took office, said it was China’s “illegal” actions in the ,West Philippine Sea, that are to blame for the rising tensions. ,“China has continued to harass our fishermen, try and ,block our efforts, to resupply our military personnel in Ayungin Shoal and also our fishermen in Scarborough Shoal. So these actions are and have been inconsistent and, in fact, are illegal in the sense that they are not consistent with international law,” said Manalo. ,“These actions have been a cause for raising tensions. We’re merely trying to assert our rights. And unfortunately, we are being hampered in doing so. In my personal belief, this is creating the tensions,” he added. ,Manalo made the statement when asked to describe bilateral ties with Beijing, over two years into the Marcos administration. ,The West Philippine Sea refers to a part of the South China Sea that includes the Philippines’ exclusive economic zone (EEZ). China claims a large part of the South China Sea as its own, despite a ,2016 arbitral ruling, that invalidated its 9-dash turned 10-dash claim. ,Ayungin Shoal, (Second Thomas Shoal) and Panatag Shoal (Scarborough Shoal or Bajo de Masinloc) have been flashpoints for tensions between Manila and Beijing in the West Philippine Sea. China, mainly through its China Coast Guard (CCG), routinely harasses Filipino fisherfolk and block Philippine government missions to bring supplies to a military outpost in Ayungin Shoal and aide to fisherfolk in Panatag Shoal. ,In March, two military resupply missions to Ayungin Shoal, where a rusting warship serves as a military outpost, were ,met with the CCG’s strong water cannons,. In late April 2024, the CCG also used water cannons against Philippine government vessels that were trying to patrol Panatag Shoal and bring supplies to fisherfolk in the area.,“We will continue to assert our rights in the appropriate way. And of course, it’s not only the Department of Foreign Affairs. This is a government-wide effort. But the President [has made] very clear that it is our priority to assert our national sovereignty, especially where it’s justified,” said Manalo. ,Tensions between the two Asian countries have spilled over to diplomacy and politics, with the two countries trading barbs over alleged deals and ,supposed reneging of agreements, in the West Philippine Sea. ,Manalo said ,no such agreement exists,. “I’ve never seen those agreements. They say they’re agreements. But where? Show us. And I don’t recall ever having discussed proposals to have such agreements,” he said. ,The foreign secretary added that he doesn’t expect ties with China to “downgrade” despite rising tensions in the West Philippine Sea. “We’ve always agreed that we should try and manage our relationship, manage our disputes through diplomatic means and through peaceful means, and this includes through meetings,” said Manalo. ,The Philippines and Beijing are set to convene the Bilateral Consultation Mechanism on the South China Sea for a second time in 2024, with Manila as host. Manalo said a final date was being ironed out. ,“We have to have an understanding on how we can manage our relationship without increasing tensions. But then, I think, in many ways, China is not really helping us to do so. That’s the challenge because of the many incidents that are occurring. So that’s a challenge for us how to do that. But we are still definitely committed to seeking diplomatic means to manage our tensions,” he added. ",https://www.rappler.com/philippines/department-foreign-affairs-china-to-blame-choppy-bilateral-ties/
No to complacency: San Miguel not thinking of semis sweep after outlasting Rain or Shine in Game 3,Delfin Dioquino,"May 22, 2024 9:04 PM PHT","CAVITE, Philippines – Complacency is the enemy as San Miguel tries not to look too far ahead even with a potential semifinal sweep of Rain or Shine in the PBA Philippine Cup looking like a strong possibility. ,Drawing solid performances from across the board, the defending champion Beermen are a win away from the finals after holding off the Elasto Painters, 117-107, in Game 3 at the Dasmariñas City Arena on Wednesday, May 22.,CJ Perez, Marcio Lassiter, and Don Trollano all reached the 20-point mark, while three others also scored in double figures as San Miguel reasserted its mastery in the best-of-seven clash.,“We just have to be motivated in Game 4. We really have to bring the energy. We really have to step on the gas,” said Beermen head coach Jorge Gallent. ,“I’m sure Rain or Shine will come out smoking in Game 4. We just have to match that and do the things that we’ve been doing and I think we’re going to be okay.”,Perez shone on all fronts with game highs of 23 points and 14 rebounds on top of 5 assists and 3 steals, Lassiter fired 21 points off five triples, while Trollano posted his first double-double of the season with 20 points and 11 rebounds. ,Terrence Romeo also delivered 13 points, 7 of those coming in a 10-5 closing run San Miguel used to seal the deal. ,June Mar Fajardo got limited to 11 points on a paltry 4-of-14 clip after seven straight games of scoring at least 20 points, but the seven-time MVP made up for his shooting woes by churning out 11 rebounds, 3 assists, and 2 blocks.,According to PBA chief statistician Fidel Mangonon, the Beermen became the 18th team in league history to go up 3-0 in a best-of-seven affair, with 16 of the previous 17 squads all going on to win the series. ,While history favors San Miguel, the players know the job is far from done.,“The series is not yet over. This is a race to four wins. We just got to be focused on the game and avoid being complacent even if we’re up 3-0,” said Trollano. ,Beau Belga topscored for the Elasto Painters with 19 points to go with 7 rebounds, 5 assists, and 3 steals, Adrian Nocum, Keith Datu, and Jhonard Clarito netted 14 points each, while Andrei Caracut added 13 points and 6 assists.,Santi Santillan chimed in 12 points, 11 rebounds, and 5 assists, including the three-pointer that pulled Rain or Shine within 105-109 with 1:30 minutes remaining.,The Beermen, however, answered with an 8-2 run capped by a Romeo trey in the dying seconds that irked Rain or Shine head coach Yeng Guiao.,A fuming Guiao gave Romeo a piece of his mind after the San Miguel guard sank a three-pointer even with the result already beyond reach.,San Miguel 117 – Perez 23, Lassiter 21, Trollano 20, Romeo 13, Ross 12, Fajardo 11, Tautuaa 10, Brondial 4, Cruz 3, Enciso 0.,Rain or Shine 107 – Belga 19, Datu 14, Clarito 14, Nocum 14, Caracut 13, Santillan 12, Mamuyac 6, Asistio 6, Norwood 4, Demusis 3, Ildefonso 2.,Quarters: 25-24, 51-47, 91-85, 117-107.",https://www.rappler.com/sports/pba/philippine-cup-semifinals-game-results-san-miguel-beermen-rain-or-shine-elasto-painters-may-22-2024/
"Agreements and disagreements on the West Philippine Sea, explained ",Bea Cupin,"May 22, 2024 9:00 AM PHT","MANILA, Philippines – From a promise to ,ride a jetski to the West Philippine Sea, that turned into policies that ,bended to Beijing’s will,, then a vow to be a “friend to all” that turned into a declaration that “,Filipinos do not yield,,” the Philippines has seen dramatic shifts in its policy and approach to handling our superpower neighbor China. ,Manila’s new-found vigor in the West Philippine Sea, at least initially, seemed to perplex Beijing. Former president Rodrigo Duterte, after all, promised a “pivot” to China. President Ferdinand Marcos Jr. now promises to work with China when interests align, but to “push back…[if] jurisdiction in the West Philippine Sea are questioned or ignored.” ,Beijing’s own push back – amid the Philippine government’s “transparency initiative” in the West Philippine Sea – has mostly come in the form of belated “revelations,” piecemeal claims of agreements, and even a threat to release a supposed audio recording of a phone call between a Chinese diplomat and a Philippine general. ,We trace the deals and agreements on the West Philippine Sea, beginning 2012, when the Philippines and China’ tense stand-off in Scarborough or Panatag Shoal led to the eventual filing of a pleading with a United Nations-backed arbitral tribunal. ,That pleading would result in the 2016 Arbitral Award, made public in the first weeks of the Duterte administration. ,On April 8, 2012, a Philippine Navy (PN) surveillance plane monitored Chinese vessels fishing inside the lagoon of Scaborough Shoal or Panatag Shoal, an atoll located some 120 nautical miles off the coast of mainland Zambales. ,The Philippines then sent a warship, the BRP ,, to conduct more surveillance on the Chinese ships. On April 10, according to a , report, soldiers from the , boarded and inspected the vessels. “Large amounts of illegally collected corals, giant clams, and live sharks were found inside the compartments of the first fishing vessel that was boarded by the PN team,” said the Department of Foreign Affairs then. ,Two Chinese “maritime surveillance ships” then entered the lagoon, preventing Philippine forces from arresting the fishermen, and a standoff commenced. The United States, a treaty ally of the Philippines, ,brokered an agreement, to pull out government vessels from the shoal – which Manila said Beijing did not follow. China denies a deal was ever made. ,Beijing has occupied and maintained practical control of the shoal and its lagoon since then. According to the Philippine Coast Guard (PCG), six to eight Chinese vessels stay in and around  the shoal at all times. Deployment increased dramatically in mid-May 2024 during a civilian-led mission to the vicinity of the shoal. ,China claims a huge part of the South China Sea as its own. It’s a claim that overlaps with several countries in the region, including the Philippines. ,Mere weeks into Rodrigo Duterte’s administration in July 2016, the Arbitral Tribunal announced its ruling, which deemed China’s broad claim on the South China Sea invalid, and affirmed the Philippines’ exclusive economic zone. ,But under Duterte – the same president who promised to plant the Philippine flag on features in the West Philippine Sea via jetski – the Philippines did not make a deal over what would have been a game-changing victory. ,Duterte’s main, sometimes solitary, goal in the West Philippine Seam was to secure the safety of civilians – the inhabitants of Pagasa (Thitu) Island, and fisherfolk who rely on features like Scaborough Shoal (Panatag Shoal or Bajo de Masinloc) for their livelihoods. ,Duterte’s discussions with Chinese President Xi Jinping focused on keeping the status quo in the West Philippine Sea. This has meant that the Philippines could and would not build new things on features it already occupies, nor would it seek out new features to occupy. An exemption was Pagasa Island, located beyond the Philippines’ exclusive economic zone, where a civilian population resides. ,In turn, China reportedly agreed not to build in Scarborough Shoal while also not impeding resupply missions to Ayungin Shoal – as long as construction materials were not in the mix. ,China uses the term “gentleman’s agreement” to refer to their Duterte-era deals with the Philippines. The term is usually used with respect to Ayungin Shoal. ,The Marcos administration denies any knowledge of the agreement, although China insists its officials were briefed about it.   ,The supposed “gentleman’s agreement” is the subject of an inquiry at the House of Representatives, a chamber dominated by a supermajority allied with the Marcos administration. ,Even before agreement under Duterte was made, Beijing had long bemoaned Manila’s alleged unfulfilled promise to tow away the BRP , from Ayungin Shoal. The warship was purposefully run aground on the shoal in 1999, also in response to China’s expansion in Mischief Reef, a feature close to mainland Palawan. ,Beijing brought up the so-called promise to tow the ship again in August 2023. Marcos denied the existence of an agreement, adding that “if there does exist such an agreement, I rescind that agreement as of now.” ,After going on about the “gentleman’s agreement” and how the Philippines supposedly reneged on it, the Chinese embassy in Manila introduced a new term: a “,new model,,” also concerning Ayungin Shoal, allegedly agreed upon under the Marcos administration.,The government’s top officials – from Marcos to Defense Secretary Gibo Teodoro to National Security Adviser Eduardo Año – denied making any such deal. China still insists it was made and agreed on by top security and defense officials, even threatening the release of a supposed recording of a phone call with former Western Command chief Vice Admiral Alberto Carlos where he allegedly confirmed the deal and his boss’ approval. ,Teodoro and Año have doubted the authenticity of the supposed recording, even as they’ve pointed out that recording a phone call without the consent of all parties is against Philippine law. The two top defense and security officials also floated the possibility of expelling Chinese diplomats involved in the alleged recording. ,The alleged wiretapping is now the subject of a Senate investigation. Carlos, now no longer Wescom chief, has been invited to the probe. Chinese Ambassador Huang Xilian has also been invited, although he cannot be compelled to attend the Congressional probe. ",https://www.rappler.com/newsbreak/explainers/agreements-disagreements-west-sea/
Sacked Wescom chief Carlos denies agreement with China in wiretapped call,Paterno R. Esmaquel II,"May 22, 2024 12:01 PM PHT","MANILA, Philippines – Vice Admiral Alberto Carlos broke his silence on Wednesday, May 22, and denied forging an agreement with China on a “new model” to handle West Philippine Sea tensions as allegedly recorded in a wiretapped call.,“I did not forge any agreement at the level and magnitude that will bind our two countries for the long term and redefine foreign policy,” Carlos, who was recently ,relieved as Western Command (Wescom) chief,, said in a Senate hearing. ,“I did not enter into any secret deals that will compromise the interests of our country. We are on the same team. Let us be united against this false narrative,” he said.,The controversy erupted in the first week of May but Carlos immediately went on “personal leave,” thus his silence until Wednesday’s Senate hearing. ,Chinese officials had claimed that Carlos, agreed to this “new model”, in a recorded conversation in January, an audio recording that the Philippine government later ,denounced as a form of wiretapping,.,It was the , – a newspaper closely associated with the Duterte administration, which ,had allied itself with China, – that published the transcript of the purported call on January 3. The call supposedly lasted for 12 minutes, according to anonymous Chinese officials who spoke to ,.,In the transcript published by the ,, Carlos allegedly reached an agreement with China on how the Philippines can resupply its troops in Ayungin Shoal, where a dilapidated World War II ship was grounded in 1999 to serve as a Philippine military outpost. ,The following was the alleged agreement between Carlos and China:,Teodoro, and National Security Adviser Eduardo Año had categorically denied ever approving the claimed “new model.” The ,Armed Forces of the Philippines, had warned against “spreading unverified information that could further escalate tensions or mislead public opinion.”,In the Senate hearing on Wednesday, Carlos admitted that he “received a phone call” from a Chinese military attaché, a senior colonel with the Chinese embassy, whom he identified as “Colonel Li.” The Filipino vice admiral said he had met Colonel Li “on several occasions in diplomatic events” as well as in “special events” by the AFP.,Senator Jinggoy Estrada, who was presiding over the hearing, asked Carlos about the first name of Colonel Li. “I will find out the first name,” said Carlos, prompting Estrada to question how Carlos can claim he has known Li but not his first name.,Carlos said the call lasted for three to five minutes – contrary to the Chinese officials’ earlier claim that it lasted for 12 minutes – and they did not discuss a “new model” in the West Philippine Sea. He admitted, however, that “we were exploring ways to reduce the tension.”,The sacked commander said he did not give his consent to record the conversation, and neither did he expect the phone call.,“I thought he was just going to greet me Happy New Year,” he said.  ",https://www.rappler.com/philippines/sacked-western-command-chief-alberto-carlos-denies-agreement-china/
Senators bare more irregularities in Alice Guo’s citizenship,Joann Manabat,"May 22, 2024 8:58 PM PHT","MANILA, Philippines – Senators uncovered on Wednesday, May 22, more irregularities that raised doubts on the citizenship of ,Bamban, Tarlac Mayor Alice Guo, during the second Senate committee hearing over her alleged involvement in ,Philippine offshore gaming operations, (POGOs) on Wednesday, May 22.,In particular, the Senate wanted to find out more as to who were Alice Guo’s parents. ,Presented in the Senate hearing were Philippine Statistics Authority (PSA) records of the birth certificates of Guo and her three siblings which were all registered belatedly by their Chinese father, Angelito. Guo’s birth certificate was registered in 2005, when she was already 19 years old. ,Hontiveros said: “,(If your father is Chinese, as you said, your mother must be Pinoy for you to be considered a Filipino.   But this certain Amelia Leal, whom you and your siblings claim as your mother, has no birth record.) How can you derive citizenship from a woman whose very existence is questionable?,Hontiveros said details of Guo’s citizenship have become significant as different perspectives have emerged since the March raid of the Bamban POGOs, including the possible threats to national security.,PSA representative Eliezer Ambatali confirmed that Guo’s parents, Angelito and Amelia Leal, are not married and do not have records of birth and marriage certificates. ,This, despite allegedly being married on two dates: October 14, 1982 and January 1987 as indicated in their children’s birth certificates.,Ambatali also said it was possible that the details indicated in Guo’s birth certificate were incorrect, including the marriage of her parents and the citizenship of her father, which indicated that he was a Filipino.,Ambatali said.,(The one who registered is her father. So he is the one presenting information about his child.),Senator Sherwin Gatchalian noted the discrepancies and abuse in delayed registration of birth citing there was no proof of Angelito’s declaration.,Ang daming maling impormasyon sa birth certificate ni Bamban Mayor Alice Guo. Nakalagay na Filipino ang kanyang ama pero Chinese pala, walang kahit anong record ang kanyang ina, at nakasaad na kasal ang kanyang mga magulang kahit na hindi naman.,#WINTayongLahat, ,pic.twitter.com/VFegZ4umhi,Mali ang mga detalye sa birth certificate, at mali na nakalusot ito kaya umabot sa ganitong sitwasyon. Dahil sa kasinungalingan, hindi natin masiguro ang pagka-Filipino ni Mayor Alice Guo. ,pic.twitter.com/UMtt7Nxctv, (From a simple lie, the person who benefitted can go far.) Gatchalian said., Gatchalian added.,(The focus of the legislation here should be the late registration. How can we make sure that syndicates can’t use this? The penalties here should also be increased for those who lied, and those who are involved in the issuance of fake birth certificates.) ,Earlier Hontiveros revealed two of Guo’s fellow incorporators in Baofu Land Development – Chinese national Zhang Ruijin, was convicted in Singapore’s largest money laundering case in April. While Zhang’s romantic partner, Lin Baoying, a Dominican Republic national, is still facing the same charges. Hontiveros said Lin was poised to plead guilty of the charges.,she added.,(The matter of her citizenship has become relevant because we presumed all was regular when she filed her certificate of candidacy, her becoming the mayor. And even though I do not agree with her getting a business permit for Zun Yuan, again we presumed regularity.),Guo could face perjury for misrepresenting herself as a Filipino citizen, according to Commission on Elections chairperson George Garcia.,Garcia said misrepresentation could be the basis of the cancellation of candidacy which is an election offense punishable by three to six years of imprisonment. She can also likewise be charged perjury. If convicted, Garcia said, perpetual disqualification of public office.,Guo has still not established her citizenship by recounting her formative and childhood years in the Philippines. ",https://www.rappler.com/philippines/senators-bare-more-irregularities-alice-guo-citizenship/
PANOORIN: Paano sinusukat ng PAGASA ang heat index?,Rappler.com,"May 16, 2024 5:45 PM PHT","MANILA, Philippines – Tuwing tag-init, umaabot ng 40°C pataas ang ,heat index,, o ang temperaturang nararamdaman ng katawan, sa maraming lugar sa bansa.,Para i-compute ang heat index, sinusukat ang air temperature at ang relative humidity o ang dami ng moisture sa hangin.,Hindi instant ang proseso na ‘yan.,Paano nga ba kinukuha ng mga eksperto sa Philippine Atmospheric, Geophysical, and Astronomical Services Administration o PAGASA ang heat index? Panoorin ang video explainer na ito. ",https://www.rappler.com/nation/weather/video-pagasa-heat-index-measurement-process/
