title,author,date,article,link
"
Sen. Binay 'seriously considering' Makati mayoralty in 2025
","
By Bernadette E. Tamayo
","
May 23, 2024
","MANILA, Philippines -- Sen. Nancy Binay on Thursday said she was ""seriously considering"" running for mayor in Makati City in the 2025 local elections.,Binay will end her last term as senator next year. Under the law, senators are allowed two consecutive six-year terms.,Asked what her political plans would be after her ""graduation"" next year, Binay said, ""We are seriously considering running in Makati [City] as mayor."",Pressed whether one of her siblings will compete against her, Binay said, it was reported that Luis Campos, husband of her sister and incumbent Makati Mayor Abigail Binay-Campos, also wants to run for mayor in Makati.,""At the end of the day they will not see two Binays in the ballot in 2025 [local polls],"" the senator said.,Binay also said her brother, former Makati mayor Jejomar Binay Jr., is helping her decide what to do.,""Of course, even if I'm not 100 percent decided in running [for mayor] we still need to prepare,"" she added.",https://www.manilatimes.net/2024/05/23/news/national/sen-binay-seriously-considering-makati-mayoralty-in-2025/1948042
"
Ex-Wescom chief says he made no secret deal
","
By Bernadette E. Tamayo
,
, and ,Francisco Tuyay
","
May 23, 2024
"," THE former commander of the Western Command (,), Vice Adm. Alberto Carlos, told the Senate Wednesday that he did not make any secret deals with China on a ""new model"" to manage resupply missions to Filipino troops on Ayungin (Second Thomas) Shoal.,Testifying before the Senate Committee on National Defense and Security, Carlos — who is at the center of a wiretapping scandal — admitted receiving a phone call in early January from a Chinese military attaché whom he identified as ""senior Col. Li."",But he said that the supposed agreement on a ""new model"" to handle the Ayungin situation was never part of their conversation, which lasted only about three to five minutes.,Carlos, who was relieved as Wescom chief only recently, said Li had initiated the call and that he did not allow anyone to record their conversation.,Carlos declined to discuss the matter publicly and said he would reveal this in a closed-door meeting or an executive session.,Chinese Ambassador to the Philippines Huang Xilian, who was invited to the hearing, was a no-show. The Chinese Embassy did not reply to media queries on why it did not send any representative to the wiretapping inquiry.,The embassy on May 7 released the supposed transcript of the taped conversation between Carlos and Li, which showed that the former Wescom head agreed to the said new model to address the sea row.,Carlos said he tried to execute the President's orders to reduce the tension in his area of operation. ""There are stories about me making secret deals with China and their officials. These are completely false,"" he said.,""I did not enter into any secret deals that will compromise the interests of our country. I have not compromised the country's territorial integrity. I have not given up our sovereign rights and entitlements,"" Carlos said.,""I am a soldier for the Filipino [people]. And I remain a loyal servant of the republic. I am not authorized to enter into agreements, and I will never pretend to be my country's authority on matters regarding policy or country-to-country agreements. That should have been obvious to China officials as it is obvious to everyone else,"" he said.,""Let me repeat. I did not forge any agreement at the level and magnitude that would bind our two countries for the long term and redefine foreign policy,"" Carlos said.,The official said at that time when the supposed wiretapping took place, he was only the commander of the Western Command and not even of the entire West Philippine Sea. ""As Wescom commander, I have done my very best to provide for the welfare of Wescom personnel,"" he said.,""We are on the same team. Let us be united against this false narrative. Our frontliners stationed at BRP Sierra Madre and the whole Western Command team together with the Philippine Coast Guard and all the government agencies involved in RoRe (rotation and resupply) missions need all the support we can give them. Let us continue to stand by them to give them strength,"" Carlos said.,The officer denied that he knew that his telephone conversation with Li was being recorded. Carlos said he got a message from the same Chinese military attaché two days ago but ignored it.,""He sent me a message two days ago, Sir, but I did not acknowledge [it],"" Carlos said.,Carlos said he was willing to reveal the gist of their phone conversation and text the message in an executive session. Asked if he thinks Li was the source of the leakage, Carlos said it would be a ""reasonable assumption."",Estrada vowed to file appropriate remedial measures stemming from what he noted was the apparent manipulation of a wiretapped phone conversation between Carlos and Li.,""This wiretapping incident is very worrisome; that's why we need to do something about it,"" Estrada said in Filipino.,""And it is more worrisome that these Chinese officials can easily manipulate a conversation [with our officials] to cause confusion and put suspicion on a bemedalled officer like Vice Admiral Carlos who serves the nation honestly,"" Estrada said.,Despite the flap over wiretapping, Foreign Affairs Secretary Enrique Manalo said the situation has not yet reached the point where the Philippines has to downgrade its diplomatic relations.,Manalo also challenged China to present documents proving its claim that the Philippines indeed forged agreements with Beijing to manage the sea row.,The Philippines in recent months have filed a diplomatic protest against China's harassment, specifically the use of water cannons on Philippine vessels on regular resupply missions to Filipino troops stationed at the beached BRP Sierra Madre in Ayungin Shoal and fishermen in the Bajo de Masinloc or Scarborough Shoal.,Some senators have criticized China for illegally recording the conversation between Carlos and Li.,""I don't think we're there yet,"" Manalo said in a briefing on Wednesday. ""I think that the whole idea is we've always said that we should try and manage our relationship, manage our disputes through diplomatic means and through peaceful means,"" Manalo said.,""We're going to continue talking with China. I think that's our job at the DFA (Department of Foreign Affairs). We have to have an understanding of how we can manage our relationship without increasing tensions,"" he said.,""But definitely, in many ways, China is not really helping us to do so. That's the challenge because of the many incidents that are occurring. So, that's a challenge for us. But we are still definitely committed to seeking diplomatic means to manage our tensions,"" the DFA chief said.,Manalo also said China should present documents to prove its claim that concerned Philippine officials have entered into an agreement with Beijing on how to avoid conflict in the South China Sea or West Philippine Sea.,China accused the Philippines of ""reneging"" on its promise years ago to remove the BRP Sierra Madre from Ayungin Shoal. The Marcos administration said it was not aware of such an agreement and would rescind it if it came to light.,""Let me just say, I've never seen those agreements. They are not in writing. I think the only source of those agreements has been from China. That's the truth. We've never seen any of those agreements. I don't recall even having discussed any of those agreements,"" Manalo said.,""If they can show us a document that was signed or at least some document then maybe they would have a case,"" Manalo said.,Also on Wednesday, the military said it would not be deterred from protecting Filipino fishermen in Bajo de Masinloc amid a threat for China to have them arrested.,In a press briefing, Rear Adm. Roy Vincent Trinidad, spokesman for the West Philippine Sea, said the AFP is duty-bound to ensure the integrity of the national territory, including protecting Filipinos and sovereignty.,""The guidance is really to continue our mandate of ensuring the integrity of the national territory, protecting Filipinos and securing our sovereignty,"" Trinidad said.,A day after the civilian Atin Ito made a successful caravan to Bajo de Masinloc or Panatag Shoal, China issued a pronouncement threatening to arrest Filipino fishermen should they enter the area that China declared as part of its sovereign waters.,However, the government blasted China's policy saying it has no authority over Bajo de Masinloc since it remained within the Philippines' 200-mile exclusive economic zone.",https://www.manilatimes.net/2024/05/23/news/ex-wescom-chief-says-he-made-no-secret-deal/1947848
"
Philippines blames China for loss of giant clams in disputed shoal and urges environmental inquiry
","
By Associated Press
","
May 23, 2024
","MANILA, Philippines — The Philippines blamed Chinese fishermen on Monday for a massive loss of giant clams in a disputed shoal controlled by China's coast guard in the South China Sea and urged an international inquiry into the amount of environmental damage in the area.,The Philippine coast guard presented surveillance photographs of Chinese fishermen harvesting large numbers of giant clams for a number of years in a lagoon at Scarborough Shoal, but said signs of such activities stopped in March 2019.,Parts of the surrounding coral appeared to be badly scarred, in what the coast guard said was apparently a futile search by the Chinese for more clams. The lagoon is a prominent fishing area which Filipinos call Bajo de Masinloc and the Chinese calll Huangyan Dao off the northwestern Philippines.,""Those were the last remaining giant clams that we saw in Bajo de Masinloc,"" Philippine coast guard spokesperson Commodore Jay Tarriela said at a news conference.,""We are alarmed and worried about the situation that's happening there,"" National Security Council Assistant Director General Jonathan Malaya said. He said China should allow an independent inquiry by experts from the United Nations and environmental groups.,The Chinese Embassy in Manila did not immediately respond to requests for comment. Beijing has repeatedly asserted its sovereignty over much of the busy South China Sea. The territorial disputes involve China, the Philippines, Vietnam, Malaysia, Brunei and Taiwan. The Indonesian navy has also been involved in skirmishes with the Chinese coast guard and fishing vessels in the Natuna waters in the margins of the South China Sea.,The Philippines has adopted a policy of publicizing China's increasingly assertive actions in the contested waters to gain international support, and the news conference was its latest effort to condemn China's stewardship of Scarborough Shoal.,China effectively seized the shoal in 2012 after a standoff that ended when Philippine government ships withdrew based on what Manila said was a deal brokered by American officials to ease the dangerous confrontation. China reneged on its promise to remove its ships and has since surrounded the shoal with coast guard and suspected militia ships, according to Philippine officials.,Since then, the Chinese coast guard has had a series of skirmishes with Philippine patrol ships and fishing boats, which have been prevented from entering the lagoon, ringed by mostly submerged coral outcrops. Three weeks ago, Chinese ships fired powerful water cannons that damaged Philippine coast guard and fisheries vessels.,""They're preventing us from getting into the lagoon,"" Malaya said. ""We can ask third-party environmental groups or even the United Nations to do a fact-finding mission to determine the environmental situation."",The Philippines has brought its territorial disputes with China to international arbitration and largely won. The 2016 ruling invalidated China's expansive claims to much of the South China Sea, a key global trade route, on historical grounds and cited Chinese government actions that resulted in environmental damage in the offshore region.,China refused to participate in the arbitration, rejected its ruling and continues to defy it.,The territorial hostilities have sparked fears of a larger conflict that could involve the U.S., which has warned that it's obligated to defend the Philippines, its long-time treaty ally, if Filipino forces, ships and aircraft come under an armed attack, including in the South China Sea.",https://www.manilatimes.net/2024/05/23/news/national/philippines-blames-china-for-loss-of-giant-clams-in-disputed-shoal-and-urges-environmental-inquiry/1948038
"
Group to Senate: Expedite passage of bills vs online piracy
","
By Arlie O. Calalo
","
May 23, 2024
","THE Bantay Konsyumer, Kalsada, Kuryente (BK3) group pressed the Senate to prioritize the passage of two bills designed to curb online piracy.,The group in a statement said these bills would help address internet scams.,The BK3 noted that there is a need to review and update existing laws in relation to these cases, specifically the law creating the Intellectual Property Code of the Philippines.,""We believe that the existing laws are no longer effective to protect the creations or inventions of Filipino inventors,"" BK3 said.,It lamented that online piracy continues, adversely affecting the creative industries in the country and resulting in revenue losses.,""Our lawmakers must act now and swiftly as there is a need to update this almost 30-year-old Intellectual Property Code,"" the group said.,""The creative industries are not just losing money but talent because some of them have started to leave and this might lead to the creative industry's demise,"" the group warned.,The Intellectual Property Office of the Philippines (IPOPHL) said earlier that due to online piracy, the country has lost $781 million in 2022 and if the problem remained unaddressed, the revenue loss would increase up to $1 billion.,Last month, Senator Mark Villar, head of the Committee on Trade, Commerce and Entrepreneurship, conducted a hearing on Senate Bills 2150 and 2385 which seek to amend the Intellectual Property code.,The passage of these bills would protect the creative industries and solve the issues on online piracy, the senator said.",https://www.manilatimes.net/2024/05/23/news/group-to-senate-expedite-passage-of-bills-vs-online-piracy/1948026
"
Joe Biden and Donald Trump battle to prove who can be toughest on China
","
By James Politi
","
May 20, 2024
","Premium,© The Financial Times Limited 2024. All Rights Reserved.,Not to be redistributed, copied or modified in any way.,Digital edition access ,Ad-free access ",https://www.manilatimes.net/2024/05/20/business/financial-times/joe-biden-and-donald-trump-battle-to-prove-who-can-be-toughest-on-china/1947429
"
Role of Canadian in huge shabu haul investigated
","
By Franco Jose C. Baroña
","
May 23, 2024
","INVESTIGATORS are trying to determine the role of a Canadian man in the biggest drug seizure in the country's history that took place last month in Batangas.,Government prosecutors on Wednesday recommended the filing of charges against Thomas Gordon O'Quinn for possession of illegal drugs and use of fictitious names, the Department of Justice said.,O'Quinn was arrested in a spa in Tagaytay on May 16 under a mission order issued by the Bureau of Immigration, stemming from an Interpol Red Notice on him.,Seized from the Canadian during the operation were illicit drugs as well as several identification cards under different names with the same facial photographs.,According to Justice Secretary Jesus Crispin Remulla, considering that O'Quinn was implicated in the Alitagtag drug haul, this will be the subject of further case buildup and preliminary investigation to determine his particular participation and the involvement of others.,The case stemmed from the investigation conducted by the Philippine National Police-National Capital Region Police Office Regional Intelligence Division to identify the possible cohorts of Michael Zarate Ajalon, the driver of the van that was flagged down at a checkpoint in Barangay Pinagkurusan, Alitagtag, Batangas.,At least 1.4 tons of shabu, with an estimated street value of P9.68 billion, were found inside the van driven by Ajalon.,According to authorities, O'Quinn possibly played a big role in the delivery of the seized drugs in Alitagtag.,Reports claim that O'Quinn and the arrested driver were connected.,""We want no part of international fugitives; you may have evaded the laws of your country but not ours,"" Secretary Remulla said.,
",https://www.manilatimes.net/2024/05/23/news/national/role-of-canadian-in-huge-shabu-haul-investigated/1947971
"
Senate reorganizes committees under new leadership
","
By Javier Joe Ismael
","
May 23, 2024
","MANILA, Philippines – Senate President Francis Escudero announced a reorganization of committee chairmanships after he took over from Sen. Juan Miguel Zubiri on May 20, 2024.,Below is the list of new committee chairmen:,1.Economic Affairs Chairman: Zubiri (from Sen. Mark Villar),2. Government Corporations and Public Enterprises: Villar (from Sen. Alan Peter Cayetano),3. Trade and Industry: Alan Peter Cayetano (from Villar),4. Energy: Sen. Pia Cayetano (from Sen. Raffy Tulfo),5. Finance: Sen. Grace Poe (from Sen. Sonny Angara),6. Higher, Technical, and Vocational Education: Alan Peter Cayetano (from Escudero),7. Justice and Human Rights: Angara (from Sen. Francis Tolentino),8. Sustainable Development Goals: Sen. Nancy Binay (from Sen. Pia Cayetano),9. Labor and Employment: Sen. Joel Villanueva (from Sen. Jose Estrada),10. Public Services: Tulfo (from Poe),11. Tourism: Sen. Lito Lapid (from Binay),12. Urban Planning, Housing, and Resettlement: Sen. Imee Marcos (from JV Ejercito),13. Ethics: Tolentino (from Binay),14. Regional Comprehensive Economic Partnership Oversight Committee: Senate President Pro Tempore Estrada.,Some senators have retained their chairmanships for continuity: JV Ejercito, Committee on Local Governments; Loren Legarda, the Committee on Culture and the Arts and Sherwin Gatchalian of the Committee on Basic Education and Ways and Means.,Escudero said further announcements will be made in the coming days.",https://www.manilatimes.net/2024/05/23/news/senate-reorganizes-committees-under-new-leadership/1948025
"
China-Russia: an economic 'friendship' that could rattle the world
","
By Joe Leahy
,
, Kai Waluszewski
,
, and ,Max Seddon
","
May 20, 2024
","Premium,© The Financial Times Limited 2024. All Rights Reserved.,Not to be redistributed, copied or modified in any way.,Digital edition access ,Ad-free access ",https://www.manilatimes.net/2024/05/20/business/financial-times/china-russia-an-economic-friendship-that-could-rattle-the-world/1947432
"
Old school calendar returns in SY2025-26
","
By Catherine S. Valente
,
, and ,Red Mendoza
","
May 23, 2024
","PRESIDENT Ferdinand Marcos Jr. has ordered the country's gradual return to the old June-to-March academic calendar by school year 2025-2026.,As part of the transition, school year 2024-2025 would begin on July 29 this year and end on April 15, 2025, Presidential Communications Secretary Cheloy Garafil said Wednesday.,The President met with Vice President Sara Duterte, who heads the Department of Education (DepEd), to discuss the two options for SY 2024-2025.,The first option comprised 180 school days with 15 in-person Saturday classes, while the second option was to have 165 school days with no in-person Saturday classes. Both options would end the SY on March 31, 2025.,However, the President said the 165-day school calendar was too short as this would significantly reduce the number of school days and contact time, which may compromise learning outcomes.,He also did not want students to go to school on Saturdays to complete the 180-day school calendar because it would jeopardize their well-being and demand more resources.,As a compromise, Marcos said instead of ending on March 31, 2025, DepEd should adjust the SY to end on April 15, 2025, to enable students to complete 180 days without using Saturdays to go to school.,""Let's make the school days longer. Let's just add the school days instead of including Saturdays,"" Marcos told Duterte during the meeting.,Duterte said they had already consulted with teachers, school officials and parents as far as the proposed school calendar was concerned.,The decision to revert to the old school calendar was prompted by the extreme heat amid the El Niño phenomenon, causing schools to suspend classes several times since April this year.,The Philippines used to start the school year for public schools in June but postponed it to August starting in 2022 amid a coronavirus pandemic and to prevent heavy rains and typhoons from disrupting classes.,For the current school year — 2023-2024 — the DepEd set the end of the academic year earlier than scheduled — on May 31, 2024.,Education Undersecretary Michael Wesley Poa said the competencies of students will not be affected by the reduction in school days in the upcoming school year, noting that the department will guide teachers to ensure that every learning day will count.,""We are going to give proper guidance to teachers so we can be effective even if our school year will have fewer days. That is why it is important that we extend this to April 15,"" Poa said.,Poa said that DepEd will issue a department order on the new school calendar once it is finalized.,ACT Teachers Rep. France Castro lauded the move of Malacañang to set the school year from July 29 to April 15, 2025.,""This is a positive step towards addressing the concerns of our teachers, students and parents who have long been advocating a more humane and conducive learning environment,"" Castro said.",https://www.manilatimes.net/2024/05/23/news/national/old-school-calendar-returns-in-sy2025-26/1947845
"
Even unborn babies tagged for sale online
","
By  Moises Cruz
","
May 23, 2024
","EVEN unborn babies are being scheduled for sale online, the executive director of the National Authority for Child Care (NACC) said Wednesday, just a week after police arrested a woman and her agent for trying to sell an 8-day-old boy on the Facebook marketplace.,""We absolutely need to ramp up the information campaign, especially among local government units, because this illegal operation occurs online,"" said Janella Estrada, executive director of the NACC. ""Even unborn babies are scheduled to be sold."",Estrada said her agency, attached to the Department of Social Welfare and Development (DSWD), is monitoring some 40 Facebook profiles that are being used to illegally sell babies online.,In a press briefing Wednesday, Estrada also said they were actively engaging with social media providers such as Facebook to monitor accounts, pages and groups involved in these illegal activities.,The DSWD this week acknowledged the NACC and the Philippine National Police's Women and Children Protection Center (PNP-WCPC) for busting a syndicate involved in the illegal sale of babies over the internet, with prices ranging from P10,000 to P100,000.,""These social media sites are selling babies online under the guise of adoption, and since February, we have been coordinating with the PNP to put a stop to this illegal activity,"" Estrada said.,The PNP-WCPC conducted an entrapment and rescue operation against two suspects at Immaculate Conception Church in Dasmariñas City, Cavite, on May 15, citing a violation of Republic Act 9208 or the Anti-Trafficking in Persons Act of 2023, as amended, including the provision against child selling, which carries a penalty of 12 years to life imprisonment and a fine of P1 million to P5 million.,""Let this be a stern warning against baby-selling syndicates that we will go after you, and we will prosecute all arrested suspects until they are convicted and meted prison sentences,"" Social Welfare Secretary Rex Gatchalian said.,Gatchalian stressed that poverty is never a reason for mothers to engage in the illegal sale of children, as the department has various programs that assist poor families and those in crisis.",https://www.manilatimes.net/2024/05/23/news/national/even-unborn-babies-tagged-for-sale-online/1947980
